Championship Type,Team A,Result,Team B,Time
تصفيات كأس العالم-إفريقيا,إيسواتيني,0 - 1,ليبيا,15:00
تصفيات كأس العالم-إفريقيا,غينيا,2 - 1,أوغندا,15:00
تصفيات كأس العالم-إفريقيا,جزر القمر,4 - 2,أفريقيا الوسطى,15:00
تصفيات كأس العالم-إفريقيا,زامبيا,4 - 2,الكونغو,18:00
تصفيات كأس العالم-إفريقيا,ليبيريا,0 - 1,مالاوي,18:00
تصفيات كأس العالم-إفريقيا,غانـــا,1 - 0,مدغشقر,18:00
تصفيات كأس العالم-إفريقيا,الكاميرون,3 - 0,موريشيوس,21:00
تصفيات كأس العالم-إفريقيا,كوت ديفوار,9 - 0,سيشيل,21:00
تصفيات كأس العالم-إفريقيا,تونس,4 - 0,ساو تومي وبرينسيبي,21:00
تصفيات كأس العالم-إفريقيا,مالي,3 - 1,تشاد,21:00
تصفيات كأس العالم-إفريقيا,بوركينا فاسو,1 - 1,غينيا بيساو,21:00
بطولة شمال أفريقيا,الجزائر,0 - 3,مصر,15:00
بطولة شمال أفريقيا,تونس,3 - 1,المغرب,15:00
تصفيات كأس العالم - أمريكا الجنوبية,الأرجنتين,0 - 2,أوروجواي,02:00
تصفيات كأس العالم - أمريكا الجنوبية,كولومبيا,2 - 1,البرازيل,02:00
تصفيات كأس العالم - أمريكا الجنوبية,تشيلي,0 - 0,باراجواي,02:30
تصفيات أمم أوروبا,كازاخستان,3 - 1,سان مارينو,17:00
تصفيات أمم أوروبا,مولدوفا,1 - 1,البانيا,19:00
تصفيات أمم أوروبا,فنلندا,4 - 0,إيرلندا الشمالية,19:00
تصفيات أمم أوروبا,إنجلترا,2 - 0,مالطة,21:45
تصفيات أمم أوروبا,إيطاليا,5 - 2,مقدونيا,21:45
تصفيات أمم أوروبا,بولندا,1 - 1,التشيك,21:45
تصفيات أمم أوروبا,الدنمارك,2 - 1,سلوفينيا,21:45
